"Jurisdiction","Precinct","Race","Candidate","Votes"
"Douglas","02-Fish Springs","Governor","None Of These Candidates","22"
"Douglas","02-Fish Springs","Governor","Sandoval, Brian","625"
"Douglas","02-Fish Springs","Governor","VanDerBeek, David Lory","12"
"Douglas","03-Gardnerville","Governor","Goodman, Robert ""Bob""","89"
"Douglas","03-Gardnerville","Governor","None Of These Candidates","12"
"Douglas","03-Gardnerville","Governor","Sandoval, Brian","470"
"Douglas","03-Gardnerville","Governor","VanDerBeek, David Lory","22"
"Douglas","04-Carson Valley Estates","Governor","Goodman, Robert ""Bob""","44"
"Douglas","04-Carson Valley Estates","Governor","None Of These Candidates","12"
"Douglas","04-Carson Valley Estates","Governor","Sandoval, Brian","310"
"Douglas","04-Carson Valley Estates","Governor","VanDerBeek, David Lory","12"
"Douglas","05-Genoa","Governor","Goodman, Robert ""Bob""","44"
"Douglas","05-Genoa","Governor","None Of These Candidates","13"
"Douglas","05-Genoa","Governor","Sandoval, Brian","468"
"Douglas","05-Genoa","Governor","VanDerBeek, David Lory","9"
"Douglas","06-Jacks Valley","Governor","Goodman, Robert ""Bob""","106"
"Douglas","06-Jacks Valley","Governor","None Of These Candidates","18"
"Douglas","06-Jacks Valley","Governor","Sandoval, Brian","539"
"Douglas","06-Jacks Valley","Governor","VanDerBeek, David Lory","23"
"Douglas","07-Minden","Governor","Goodman, Robert ""Bob""","58"
"Douglas","07-Minden","Governor","None Of These Candidates","20"
"Douglas","07-Minden","Governor","Sandoval, Brian","438"
"Douglas","07-Minden","Governor","VanDerBeek, David Lory","13"
"Douglas","08-Ranchos I","Governor","Goodman, Robert ""Bob""","79"
"Douglas","08-Ranchos I","Governor","None Of These Candidates","15"
"Douglas","08-Ranchos I","Governor","Sandoval, Brian","529"
"Douglas","08-Ranchos I","Governor","VanDerBeek, David Lory","25"
"Douglas","09-Ranchos II","Governor","Goodman, Robert ""Bob""","57"
"Douglas","09-Ranchos II","Governor","None Of These Candidates","13"
"Douglas","09-Ranchos II","Governor","Sandoval, Brian","362"
"Douglas","09-Ranchos II","Governor","VanDerBeek, David Lory","16"
"Douglas","10-TRE","Governor","Goodman, Robert ""Bob""","65"
"Douglas","10-TRE","Governor","None Of These Candidates","15"
"Douglas","10-TRE","Governor","Sandoval, Brian","450"
"Douglas","10-TRE","Governor","VanDerBeek, David Lory","18"
"Douglas","11-Johnson Lane","Governor","Goodman, Robert ""Bob""","77"
"Douglas","11-Johnson Lane","Governor","None Of These Candidates","24"
"Douglas","11-Johnson Lane","Governor","Sandoval, Brian","588"
"Douglas","11-Johnson Lane","Governor","VanDerBeek, David Lory","27"
"Douglas","12-Dresslerville","Governor","Goodman, Robert ""Bob""","9"
"Douglas","12-Dresslerville","Governor","None Of These Candidates","1"
"Douglas","12-Dresslerville","Governor","Sandoval, Brian","18"
"Douglas","12-Dresslerville","Governor","VanDerBeek, David Lory","0"
"Douglas","13-Indian Hills - West","Governor","Goodman, Robert ""Bob""","89"
"Douglas","13-Indian Hills - West","Governor","None Of These Candidates","11"
"Douglas","13-Indian Hills - West","Governor","Sandoval, Brian","443"
"Douglas","13-Indian Hills - West","Governor","VanDerBeek, David Lory","17"
"Douglas","14-Pinenut","Governor","Goodman, Robert ""Bob""","47"
"Douglas","14-Pinenut","Governor","None Of These Candidates","8"
"Douglas","14-Pinenut","Governor","Sandoval, Brian","459"
"Douglas","14-Pinenut","Governor","VanDerBeek, David Lory","15"
"Douglas","15-Valley","Governor","Goodman, Robert ""Bob""","32"
"Douglas","15-Valley","Governor","None Of These Candidates","7"
"Douglas","15-Valley","Governor","Sandoval, Brian","193"
"Douglas","15-Valley","Governor","VanDerBeek, David Lory","9"
"Douglas","16-Mottsville","Governor","Goodman, Robert ""Bob""","37"
"Douglas","16-Mottsville","Governor","None Of These Candidates","10"
"Douglas","16-Mottsville","Governor","Sandoval, Brian","420"
"Douglas","16-Mottsville","Governor","VanDerBeek, David Lory","7"
"Douglas","17-Ruhenstroth","Governor","Goodman, Robert ""Bob""","72"
"Douglas","17-Ruhenstroth","Governor","None Of These Candidates","24"
"Douglas","17-Ruhenstroth","Governor","Sandoval, Brian","691"
"Douglas","17-Ruhenstroth","Governor","VanDerBeek, David Lory","21"
"Douglas","18-Ranchos III","Governor","Goodman, Robert ""Bob""","25"
"Douglas","18-Ranchos III","Governor","None Of These Candidates","4"
"Douglas","18-Ranchos III","Governor","Sandoval, Brian","257"
"Douglas","18-Ranchos III","Governor","VanDerBeek, David Lory","13"
"Douglas","19-Ranchos IV","Governor","Goodman, Robert ""Bob""","63"
"Douglas","19-Ranchos IV","Governor","None Of These Candidates","17"
"Douglas","19-Ranchos IV","Governor","Sandoval, Brian","399"
"Douglas","19-Ranchos IV","Governor","VanDerBeek, David Lory","16"
"Douglas","20-Birch/Ranchos","Governor","Goodman, Robert ""Bob""","73"
"Douglas","20-Birch/Ranchos","Governor","None Of These Candidates","14"
"Douglas","20-Birch/Ranchos","Governor","Sandoval, Brian","394"
"Douglas","20-Birch/Ranchos","Governor","VanDerBeek, David Lory","15"
"Douglas","21-Wildhorse","Governor","Goodman, Robert ""Bob""","76"
"Douglas","21-Wildhorse","Governor","None Of These Candidates","11"
"Douglas","21-Wildhorse","Governor","Sandoval, Brian","574"
"Douglas","21-Wildhorse","Governor","VanDerBeek, David Lory","21"
"Douglas","22-Saratoga","Governor","Goodman, Robert ""Bob""","82"
"Douglas","22-Saratoga","Governor","None Of These Candidates","15"
"Douglas","22-Saratoga","Governor","Sandoval, Brian","637"
"Douglas","22-Saratoga","Governor","VanDerBeek, David Lory","27"
"Douglas","23-Indian Hills - East","Governor","Goodman, Robert ""Bob""","62"
"Douglas","23-Indian Hills - East","Governor","None Of These Candidates","9"
"Douglas","23-Indian Hills - East","Governor","Sandoval, Brian","352"
"Douglas","23-Indian Hills - East","Governor","VanDerBeek, David Lory","20"
"Douglas","24-Topaz Lake","Governor","Goodman, Robert ""Bob""","17"
"Douglas","24-Topaz Lake","Governor","None Of These Candidates","11"
"Douglas","24-Topaz Lake","Governor","Sandoval, Brian","221"
"Douglas","24-Topaz Lake","Governor","VanDerBeek, David Lory","8"
"Douglas","25-Pleasantview","Governor","Goodman, Robert ""Bob""","83"
"Douglas","25-Pleasantview","Governor","None Of These Candidates","13"
"Douglas","25-Pleasantview","Governor","Sandoval, Brian","663"
"Douglas","25-Pleasantview","Governor","VanDerBeek, David Lory","25"
"Douglas","26-Westwood","Governor","Goodman, Robert ""Bob""","38"
"Douglas","26-Westwood","Governor","None Of These Candidates","8"
"Douglas","26-Westwood","Governor","Sandoval, Brian","300"
"Douglas","26-Westwood","Governor","VanDerBeek, David Lory","8"
"Douglas","27-Winhaven","Governor","Goodman, Robert ""Bob""","63"
"Douglas","27-Winhaven","Governor","None Of These Candidates","11"
"Douglas","27-Winhaven","Governor","Sandoval, Brian","414"
"Douglas","27-Winhaven","Governor","VanDerBeek, David Lory","7"
"Douglas","28-Orchard Road","Governor","Goodman, Robert ""Bob""","22"
"Douglas","28-Orchard Road","Governor","None Of These Candidates","1"
"Douglas","28-Orchard Road","Governor","Sandoval, Brian","279"
"Douglas","28-Orchard Road","Governor","VanDerBeek, David Lory","3"
"Douglas","29-Autumn Hils","Governor","Goodman, Robert ""Bob""","43"
"Douglas","29-Autumn Hils","Governor","None Of These Candidates","7"
"Douglas","29-Autumn Hils","Governor","Sandoval, Brian","394"
"Douglas","29-Autumn Hils","Governor","VanDerBeek, David Lory","7"
"Douglas","30-East Fork","Governor","Goodman, Robert ""Bob""","*"
"Douglas","30-East Fork","Governor","None Of These Candidates","*"
"Douglas","30-East Fork","Governor","Sandoval, Brian","*"
"Douglas","30-East Fork","Governor","VanDerBeek, David Lory","*"
"Douglas","31-Chichester","Governor","Goodman, Robert ""Bob""","64"
"Douglas","31-Chichester","Governor","None Of These Candidates","7"
"Douglas","31-Chichester","Governor","Sandoval, Brian","309"
"Douglas","31-Chichester","Governor","VanDerBeek, David Lory","10"
"Douglas","32-East Valley","Governor","Goodman, Robert ""Bob""","27"
"Douglas","32-East Valley","Governor","None Of These Candidates","4"
"Douglas","32-East Valley","Governor","Sandoval, Brian","299"
"Douglas","32-East Valley","Governor","VanDerBeek, David Lory","8"
"Douglas","33-Hot Springs","Governor","Goodman, Robert ""Bob""","38"
"Douglas","33-Hot Springs","Governor","None Of These Candidates","7"
"Douglas","33-Hot Springs","Governor","Sandoval, Brian","270"
"Douglas","33-Hot Springs","Governor","VanDerBeek, David Lory","10"
"Douglas","34-Sunridge","Governor","Goodman, Robert ""Bob""","41"
"Douglas","34-Sunridge","Governor","None Of These Candidates","8"
"Douglas","34-Sunridge","Governor","Sandoval, Brian","216"
"Douglas","34-Sunridge","Governor","VanDerBeek, David Lory","7"
"Douglas","35-Glenbrook","Governor","Goodman, Robert ""Bob""","29"
"Douglas","35-Glenbrook","Governor","None Of These Candidates","6"
"Douglas","35-Glenbrook","Governor","Sandoval, Brian","210"
"Douglas","35-Glenbrook","Governor","VanDerBeek, David Lory","6"
"Douglas","36-Skyland","Governor","Goodman, Robert ""Bob""","29"
"Douglas","36-Skyland","Governor","None Of These Candidates","2"
"Douglas","36-Skyland","Governor","Sandoval, Brian","244"
"Douglas","36-Skyland","Governor","VanDerBeek, David Lory","3"
"Douglas","37-Zephyr Cove","Governor","Goodman, Robert ""Bob""","46"
"Douglas","37-Zephyr Cove","Governor","None Of These Candidates","3"
"Douglas","37-Zephyr Cove","Governor","Sandoval, Brian","216"
"Douglas","37-Zephyr Cove","Governor","VanDerBeek, David Lory","14"
"Douglas","38-Round Hill","Governor","Goodman, Robert ""Bob""","60"
"Douglas","38-Round Hill","Governor","None Of These Candidates","1"
"Douglas","38-Round Hill","Governor","Sandoval, Brian","240"
"Douglas","38-Round Hill","Governor","VanDerBeek, David Lory","14"
"Douglas","39-Edgewood","Governor","Goodman, Robert ""Bob""","17"
"Douglas","39-Edgewood","Governor","None Of These Candidates","2"
"Douglas","39-Edgewood","Governor","Sandoval, Brian","58"
"Douglas","39-Edgewood","Governor","VanDerBeek, David Lory","4"
"Douglas","40-Kingsbury","Governor","Goodman, Robert ""Bob""","86"
"Douglas","40-Kingsbury","Governor","None Of These Candidates","10"
"Douglas","40-Kingsbury","Governor","Sandoval, Brian","337"
"Douglas","40-Kingsbury","Governor","VanDerBeek, David Lory","13"
"Douglas","41-Daggett","Governor","Goodman, Robert ""Bob""","83"
"Douglas","41-Daggett","Governor","None Of These Candidates","8"
"Douglas","41-Daggett","Governor","Sandoval, Brian","235"
"Douglas","41-Daggett","Governor","VanDerBeek, David Lory","14"
"Elko","Precinct 1","Governor","Goodman, Robert ""Bob""","17"
"Elko","Precinct 1","Governor","None Of These Candidates","8"
"Elko","Precinct 1","Governor","Sandoval, Brian","154"
"Elko","Precinct 1","Governor","VanDerBeek, David Lory","9"
"Elko","Precinct 10","Governor","Goodman, Robert ""Bob""","42"
"Elko","Precinct 10","Governor","None Of These Candidates","17"
"Elko","Precinct 10","Governor","Sandoval, Brian","350"
"Elko","Precinct 10","Governor","VanDerBeek, David Lory","20"
"Elko","Precinct 11","Governor","Goodman, Robert ""Bob""","25"
"Elko","Precinct 11","Governor","None Of These Candidates","3"
"Elko","Precinct 11","Governor","Sandoval, Brian","169"
"Elko","Precinct 11","Governor","VanDerBeek, David Lory","11"
"Elko","Precinct 12","Governor","Goodman, Robert ""Bob""","48"
"Elko","Precinct 12","Governor","None Of These Candidates","14"
"Elko","Precinct 12","Governor","Sandoval, Brian","426"
"Elko","Precinct 12","Governor","VanDerBeek, David Lory","50"
"Elko","Precinct 13","Governor","Goodman, Robert ""Bob""","13"
"Elko","Precinct 13","Governor","None Of These Candidates","5"
"Elko","Precinct 13","Governor","Sandoval, Brian","154"
"Elko","Precinct 13","Governor","VanDerBeek, David Lory","14"
"Elko","Precinct 14","Governor","Goodman, Robert ""Bob""","45"
"Elko","Precinct 14","Governor","None Of These Candidates","10"
"Elko","Precinct 14","Governor","Sandoval, Brian","457"
"Elko","Precinct 14","Governor","VanDerBeek, David Lory","25"
"Elko","Precinct 15","Governor","Goodman, Robert ""Bob""","28"
"Elko","Precinct 15","Governor","None Of These Candidates","2"
"Elko","Precinct 15","Governor","Sandoval, Brian","209"
"Elko","Precinct 15","Governor","VanDerBeek, David Lory","29"
"Elko","Precinct 16","Governor","Goodman, Robert ""Bob""","20"
"Elko","Precinct 16","Governor","None Of These Candidates","4"
"Elko","Precinct 16","Governor","Sandoval, Brian","177"
"Elko","Precinct 16","Governor","VanDerBeek, David Lory","20"
"Elko","Precinct 17","Governor","Goodman, Robert ""Bob""","1"
"Elko","Precinct 17","Governor","None Of These Candidates","1"
"Elko","Precinct 17","Governor","Sandoval, Brian","8"
"Elko","Precinct 17","Governor","VanDerBeek, David Lory","1"
"Elko","Precinct 18","Governor","Goodman, Robert ""Bob""","18"
"Elko","Precinct 18","Governor","None Of These Candidates","4"
"Elko","Precinct 18","Governor","Sandoval, Brian","109"
"Elko","Precinct 18","Governor","VanDerBeek, David Lory","17"
"Elko","Precinct 19","Governor","Goodman, Robert ""Bob""","19"
"Elko","Precinct 19","Governor","None Of These Candidates","5"
"Elko","Precinct 19","Governor","Sandoval, Brian","126"
"Elko","Precinct 19","Governor","VanDerBeek, David Lory","13"
"Elko","Precinct 2","Governor","Goodman, Robert ""Bob""","28"
"Elko","Precinct 2","Governor","None Of These Candidates","5"
"Elko","Precinct 2","Governor","Sandoval, Brian","142"
"Elko","Precinct 2","Governor","VanDerBeek, David Lory","13"
"Elko","Precinct 20","Governor","Goodman, Robert ""Bob""","80"
"Elko","Precinct 20","Governor","None Of These Candidates","27"
"Elko","Precinct 20","Governor","Sandoval, Brian","199"
"Elko","Precinct 20","Governor","VanDerBeek, David Lory","29"
"Elko","Precinct 21","Governor","Goodman, Robert ""Bob""","17"
"Elko","Precinct 21","Governor","None Of These Candidates","5"
"Elko","Precinct 21","Governor","Sandoval, Brian","35"
"Elko","Precinct 21","Governor","VanDerBeek, David Lory","10"
"Elko","Precinct 22","Governor","Goodman, Robert ""Bob""","70"
"Elko","Precinct 22","Governor","None Of These Candidates","12"
"Elko","Precinct 22","Governor","Sandoval, Brian","493"
"Elko","Precinct 22","Governor","VanDerBeek, David Lory","49"
"Elko","Precinct 23","Governor","Goodman, Robert ""Bob""","66"
"Elko","Precinct 23","Governor","None Of These Candidates","9"
"Elko","Precinct 23","Governor","Sandoval, Brian","477"
"Elko","Precinct 23","Governor","VanDerBeek, David Lory","44"
"Elko","Precinct 24","Governor","Goodman, Robert ""Bob""","33"
"Elko","Precinct 24","Governor","None Of These Candidates","10"
"Elko","Precinct 24","Governor","Sandoval, Brian","317"
"Elko","Precinct 24","Governor","VanDerBeek, David Lory","24"
"Elko","Precinct 25","Governor","Goodman, Robert ""Bob""","46"
"Elko","Precinct 25","Governor","None Of These Candidates","6"
"Elko","Precinct 25","Governor","Sandoval, Brian","281"
"Elko","Precinct 25","Governor","VanDerBeek, David Lory","34"
"Elko","Precinct 26","Governor","Goodman, Robert ""Bob""","34"
"Elko","Precinct 26","Governor","None Of These Candidates","7"
"Elko","Precinct 26","Governor","Sandoval, Brian","311"
"Elko","Precinct 26","Governor","VanDerBeek, David Lory","15"
"Elko","Precinct 27","Governor","Goodman, Robert ""Bob""","11"
"Elko","Precinct 27","Governor","None Of These Candidates","3"
"Elko","Precinct 27","Governor","Sandoval, Brian","174"
"Elko","Precinct 27","Governor","VanDerBeek, David Lory","18"
"Elko","Precinct 28","Governor","Goodman, Robert ""Bob""","3"
"Elko","Precinct 28","Governor","None Of These Candidates","2"
"Elko","Precinct 28","Governor","Sandoval, Brian","43"
"Elko","Precinct 28","Governor","VanDerBeek, David Lory","6"
"Elko","Precinct 29","Governor","Goodman, Robert ""Bob""","27"
"Elko","Precinct 29","Governor","None Of These Candidates","5"
"Elko","Precinct 29","Governor","Sandoval, Brian","20"
"Elko","Precinct 29","Governor","VanDerBeek, David Lory","4"
"Elko","Precinct 3","Governor","Goodman, Robert ""Bob""","37"
"Elko","Precinct 3","Governor","None Of These Candidates","21"
"Elko","Precinct 3","Governor","Sandoval, Brian","239"
"Elko","Precinct 3","Governor","VanDerBeek, David Lory","21"
"Elko","Precinct 30","Governor","Goodman, Robert ""Bob""","1"
"Elko","Precinct 30","Governor","None Of These Candidates","3"
"Elko","Precinct 30","Governor","Sandoval, Brian","35"
"Elko","Precinct 30","Governor","VanDerBeek, David Lory","7"
"Elko","Precinct 31","Governor","Goodman, Robert ""Bob""","4"
"Elko","Precinct 31","Governor","None Of These Candidates","0"
"Elko","Precinct 31","Governor","Sandoval, Brian","23"
"Elko","Precinct 31","Governor","VanDerBeek, David Lory","2"
"Elko","Precinct 32","Governor","Goodman, Robert ""Bob""","20"
"Elko","Precinct 32","Governor","None Of These Candidates","8"
"Elko","Precinct 32","Governor","Sandoval, Brian","260"
"Elko","Precinct 32","Governor","VanDerBeek, David Lory","53"
"Elko","Precinct 33","Governor","Goodman, Robert ""Bob""","8"
"Elko","Precinct 33","Governor","None Of These Candidates","2"
"Elko","Precinct 33","Governor","Sandoval, Brian","58"
"Elko","Precinct 33","Governor","VanDerBeek, David Lory","9"
"Elko","Precinct 34","Governor","Goodman, Robert ""Bob""","9"
"Elko","Precinct 34","Governor","None Of These Candidates","5"
"Elko","Precinct 34","Governor","Sandoval, Brian","77"
"Elko","Precinct 34","Governor","VanDerBeek, David Lory","4"
"Elko","Precinct 35","Governor","Goodman, Robert ""Bob""","5"
"Elko","Precinct 35","Governor","None Of These Candidates","4"
"Elko","Precinct 35","Governor","Sandoval, Brian","68"
"Elko","Precinct 35","Governor","VanDerBeek, David Lory","7"
"Elko","Precinct 36","Governor","Goodman, Robert ""Bob""","12"
"Elko","Precinct 36","Governor","None Of These Candidates","3"
"Elko","Precinct 36","Governor","Sandoval, Brian","64"
"Elko","Precinct 36","Governor","VanDerBeek, David Lory","5"
"Elko","Precinct 37","Governor","Goodman, Robert ""Bob""","9"
"Elko","Precinct 37","Governor","None Of These Candidates","3"
"Elko","Precinct 37","Governor","Sandoval, Brian","39"
"Elko","Precinct 37","Governor","VanDerBeek, David Lory","5"
"Elko","Precinct 38","Governor","Goodman, Robert ""Bob""","26"
"Elko","Precinct 38","Governor","None Of These Candidates","2"
"Elko","Precinct 38","Governor","Sandoval, Brian","23"
"Elko","Precinct 38","Governor","VanDerBeek, David Lory","9"
"Elko","Precinct 39","Governor","Goodman, Robert ""Bob""","10"
"Elko","Precinct 39","Governor","None Of These Candidates","1"
"Elko","Precinct 39","Governor","Sandoval, Brian","37"
"Elko","Precinct 39","Governor","VanDerBeek, David Lory","15"
"Elko","Precinct 4","Governor","Goodman, Robert ""Bob""","44"
"Elko","Precinct 4","Governor","None Of These Candidates","16"
"Elko","Precinct 4","Governor","Sandoval, Brian","227"
"Elko","Precinct 4","Governor","VanDerBeek, David Lory","14"
"Elko","Precinct 40","Governor","Goodman, Robert ""Bob""","52"
"Elko","Precinct 40","Governor","None Of These Candidates","9"
"Elko","Precinct 40","Governor","Sandoval, Brian","468"
"Elko","Precinct 40","Governor","VanDerBeek, David Lory","28"
"Elko","Precinct 41","Governor","Goodman, Robert ""Bob""","41"
"Elko","Precinct 41","Governor","None Of These Candidates","13"
"Elko","Precinct 41","Governor","Sandoval, Brian","427"
"Elko","Precinct 41","Governor","VanDerBeek, David Lory","34"
"Elko","Precinct 5","Governor","Goodman, Robert ""Bob""","28"
"Elko","Precinct 5","Governor","None Of These Candidates","12"
"Elko","Precinct 5","Governor","Sandoval, Brian","244"
"Elko","Precinct 5","Governor","VanDerBeek, David Lory","21"
"Elko","Precinct 6","Governor","Goodman, Robert ""Bob""","24"
"Elko","Precinct 6","Governor","None Of These Candidates","6"
"Elko","Precinct 6","Governor","Sandoval, Brian","210"
"Elko","Precinct 6","Governor","VanDerBeek, David Lory","16"
"Elko","Precinct 7","Governor","Goodman, Robert ""Bob""","16"
"Elko","Precinct 7","Governor","None Of These Candidates","12"
"Elko","Precinct 7","Governor","Sandoval, Brian","214"
"Elko","Precinct 7","Governor","VanDerBeek, David Lory","10"
"Elko","Precinct 8","Governor","Goodman, Robert ""Bob""","50"
"Elko","Precinct 8","Governor","None Of These Candidates","4"
"Elko","Precinct 8","Governor","Sandoval, Brian","307"
"Elko","Precinct 8","Governor","VanDerBeek, David Lory","15"
"Elko","Precinct 9","Governor","Goodman, Robert ""Bob""","32"
"Elko","Precinct 9","Governor","None Of These Candidates","9"
"Elko","Precinct 9","Governor","Sandoval, Brian","187"
"Elko","Precinct 9","Governor","VanDerBeek, David Lory","16"
"Esmeralda","Precinct 1","Governor","Goodman, Robert ""Bob""","21"
"Esmeralda","Precinct 1","Governor","None Of These Candidates","7"
"Esmeralda","Precinct 1","Governor","Sandoval, Brian","108"
"Esmeralda","Precinct 1","Governor","VanDerBeek, David Lory","14"
"Esmeralda","Precinct 2","Governor","Goodman, Robert ""Bob""","3"
"Esmeralda","Precinct 2","Governor","None Of These Candidates","3"
"Esmeralda","Precinct 2","Governor","Sandoval, Brian","31"
"Esmeralda","Precinct 2","Governor","VanDerBeek, David Lory","2"
"Esmeralda","Precinct 3","Governor","Goodman, Robert ""Bob""","15"
"Esmeralda","Precinct 3","Governor","None Of These Candidates","5"
"Esmeralda","Precinct 3","Governor","Sandoval, Brian","124"
"Esmeralda","Precinct 3","Governor","VanDerBeek, David Lory","9"
"Esmeralda","Precinct 4","Governor","Goodman, Robert ""Bob""","3"
"Esmeralda","Precinct 4","Governor","None Of These Candidates","0"
"Esmeralda","Precinct 4","Governor","Sandoval, Brian","9"
"Esmeralda","Precinct 4","Governor","VanDerBeek, David Lory","0"
"Esmeralda","Precinct 5","Governor","Goodman, Robert ""Bob""","*"
"Esmeralda","Precinct 5","Governor","None Of These Candidates","*"
"Esmeralda","Precinct 5","Governor","Sandoval, Brian","*"
"Esmeralda","Precinct 5","Governor","VanDerBeek, David Lory","*"
"Eureka","Precinct 1","Governor","Goodman, Robert ""Bob""","23"
"Eureka","Precinct 1","Governor","None Of These Candidates","14"
"Eureka","Precinct 1","Governor","Sandoval, Brian","211"
"Eureka","Precinct 1","Governor","VanDerBeek, David Lory","22"
"Eureka","Precinct 2","Governor","Goodman, Robert ""Bob""","15"
"Eureka","Precinct 2","Governor","None Of These Candidates","18"
"Eureka","Precinct 2","Governor","Sandoval, Brian","179"
"Eureka","Precinct 2","Governor","VanDerBeek, David Lory","16"
"Eureka","Precinct 3","Governor","Goodman, Robert ""Bob""","5"
"Eureka","Precinct 3","Governor","None Of These Candidates","6"
"Eureka","Precinct 3","Governor","Sandoval, Brian","72"
"Eureka","Precinct 3","Governor","VanDerBeek, David Lory","16"
"Eureka","Precinct 4","Governor","Goodman, Robert ""Bob""","10"
"Eureka","Precinct 4","Governor","None Of These Candidates","7"
"Eureka","Precinct 4","Governor","Sandoval, Brian","71"
"Eureka","Precinct 4","Governor","VanDerBeek, David Lory","15"
"Humboldt","Precinct 1","Governor","Goodman, Robert ""Bob""","35"
"Humboldt","Precinct 1","Governor","None Of These Candidates","13"
"Humboldt","Precinct 1","Governor","Sandoval, Brian","323"
"Humboldt","Precinct 1","Governor","VanDerBeek, David Lory","14"
"Humboldt","Precinct 10","Governor","Goodman, Robert ""Bob""","34"
"Humboldt","Precinct 10","Governor","None Of These Candidates","2"
"Humboldt","Precinct 10","Governor","Sandoval, Brian","43"
"Humboldt","Precinct 10","Governor","VanDerBeek, David Lory","2"
"Humboldt","Precinct 11","Governor","Goodman, Robert ""Bob""","6"
"Humboldt","Precinct 11","Governor","None Of These Candidates","1"
"Humboldt","Precinct 11","Governor","Sandoval, Brian","161"
"Humboldt","Precinct 11","Governor","VanDerBeek, David Lory","2"
"Humboldt","Precinct 12","Governor","Goodman, Robert ""Bob""","3"
"Humboldt","Precinct 12","Governor","None Of These Candidates","5"
"Humboldt","Precinct 12","Governor","Sandoval, Brian","106"
"Humboldt","Precinct 12","Governor","VanDerBeek, David Lory","2"
"Humboldt","Precinct 13","Governor","Goodman, Robert ""Bob""","20"
"Humboldt","Precinct 13","Governor","None Of These Candidates","10"
"Humboldt","Precinct 13","Governor","Sandoval, Brian","110"
"Humboldt","Precinct 13","Governor","VanDerBeek, David Lory","9"
"Humboldt","Precinct 14","Governor","Goodman, Robert ""Bob""","35"
"Humboldt","Precinct 14","Governor","None Of These Candidates","10"
"Humboldt","Precinct 14","Governor","Sandoval, Brian","326"
"Humboldt","Precinct 14","Governor","VanDerBeek, David Lory","6"
"Humboldt","Precinct 15","Governor","Goodman, Robert ""Bob""","13"
"Humboldt","Precinct 15","Governor","None Of These Candidates","3"
"Humboldt","Precinct 15","Governor","Sandoval, Brian","102"
"Humboldt","Precinct 15","Governor","VanDerBeek, David Lory","8"
"Humboldt","Precinct 2","Governor","Goodman, Robert ""Bob""","58"
"Humboldt","Precinct 2","Governor","None Of These Candidates","7"
"Humboldt","Precinct 2","Governor","Sandoval, Brian","333"
"Humboldt","Precinct 2","Governor","VanDerBeek, David Lory","21"
"Humboldt","Precinct 3","Governor","Goodman, Robert ""Bob""","48"
"Humboldt","Precinct 3","Governor","None Of These Candidates","12"
"Humboldt","Precinct 3","Governor","Sandoval, Brian","343"
"Humboldt","Precinct 3","Governor","VanDerBeek, David Lory","7"
"Humboldt","Precinct 4","Governor","Goodman, Robert ""Bob""","47"
"Humboldt","Precinct 4","Governor","None Of These Candidates","4"
"Humboldt","Precinct 4","Governor","Sandoval, Brian","259"
"Humboldt","Precinct 4","Governor","VanDerBeek, David Lory","12"
"Humboldt","Precinct 5","Governor","Goodman, Robert ""Bob""","53"
"Humboldt","Precinct 5","Governor","None Of These Candidates","16"
"Humboldt","Precinct 5","Governor","Sandoval, Brian","505"
"Humboldt","Precinct 5","Governor","VanDerBeek, David Lory","12"
"Humboldt","Precinct 6","Governor","Goodman, Robert ""Bob""","56"
"Humboldt","Precinct 6","Governor","None Of These Candidates","9"
"Humboldt","Precinct 6","Governor","Sandoval, Brian","497"
"Humboldt","Precinct 6","Governor","VanDerBeek, David Lory","22"
"Humboldt","Precinct 7","Governor","Goodman, Robert ""Bob""","34"
"Humboldt","Precinct 7","Governor","None Of These Candidates","16"
"Humboldt","Precinct 7","Governor","Sandoval, Brian","388"
"Humboldt","Precinct 7","Governor","VanDerBeek, David Lory","21"
"Humboldt","Precinct 8","Governor","Goodman, Robert ""Bob""","1"
"Humboldt","Precinct 8","Governor","None Of These Candidates","0"
"Humboldt","Precinct 8","Governor","Sandoval, Brian","63"
"Humboldt","Precinct 8","Governor","VanDerBeek, David Lory","2"
"Humboldt","Precinct 9","Governor","Goodman, Robert ""Bob""","16"
"Humboldt","Precinct 9","Governor","None Of These Candidates","0"
"Humboldt","Precinct 9","Governor","Sandoval, Brian","74"
"Humboldt","Precinct 9","Governor","VanDerBeek, David Lory","9"
"Lander","Argenta 01","Governor","Goodman, Robert ""Bob""","27"
"Lander","Argenta 01","Governor","None Of These Candidates","5"
"Lander","Argenta 01","Governor","Sandoval, Brian","256"
"Lander","Argenta 01","Governor","VanDerBeek, David Lory","10"
"Lander","Argenta 02","Governor","Goodman, Robert ""Bob""","43"
"Lander","Argenta 02","Governor","None Of These Candidates","9"
"Lander","Argenta 02","Governor","Sandoval, Brian","279"
"Lander","Argenta 02","Governor","VanDerBeek, David Lory","20"
"Lander","Argenta 03","Governor","Goodman, Robert ""Bob""","12"
"Lander","Argenta 03","Governor","None Of These Candidates","1"
"Lander","Argenta 03","Governor","Sandoval, Brian","85"
"Lander","Argenta 03","Governor","VanDerBeek, David Lory","3"
"Lander","Argenta 04","Governor","Goodman, Robert ""Bob""","35"
"Lander","Argenta 04","Governor","None Of These Candidates","10"
"Lander","Argenta 04","Governor","Sandoval, Brian","348"
